date,dma,isTreatmentPeriod,isTreatmentGroup,revenue
4/3/2012,606,0,0,18230.5656
4/3/2012,609,0,0,225466.128
4/3/2012,610,0,1,50921.0496
4/3/2012,611,0,0,32158.2528
4/3/2012,612,0,1,74258.3808
4/3/2012,613,0,0,384782.9472
4/3/2012,616,0,1,184052.664
4/3/2012,617,0,0,186000.408
4/3/2012,618,0,1,584399.988
4/3/2012,619,0,1,95776.7688
4/3/2012,622,0,0,143435.1528
4/3/2012,623,0,1,562347.0936
4/3/2012,624,0,0,32626.7352
4/3/2012,625,0,1,67455.7776
4/3/2012,626,0,1,6607.8072
4/3/2012,627,0,0,39197.3904
4/3/2012,628,0,1,31981.0248
4/3/2012,630,0,1,130475.5992
4/3/2012,631,0,1,10825.1424
4/3/2012,632,0,1,75995.6256
4/3/2012,633,0,1,37999.1448
4/3/2012,634,0,1,50071.8528
4/3/2012,635,0,0,178303.0248
4/3/2012,636,0,1,95964.3864
4/3/2012,637,0,1,83529.6192
4/3/2012,638,0,1,9865.0224
4/3/2012,639,0,1,12331.6056
4/3/2012,640,0,1,132555.2184
4/3/2012,641,0,1,205262.0568
4/3/2012,642,0,1,52690.5288
4/3/2012,643,0,1,17738.0208
4/3/2012,644,0,0,14928.552
4/3/2012,647,0,1,10818.6264
4/3/2012,648,0,1,76850.676
4/3/2012,649,0,1,61507.8
4/3/2012,650,0,1,148319.0424
4/3/2012,651,0,1,28063.512
4/3/2012,652,0,1,85885.2216
4/3/2012,656,0,0,30375.648
4/3/2012,657,0,1,24551.64
4/3/2012,658,0,1,94604.9832
4/3/2012,659,0,1,231212.052
4/3/2012,661,0,1,8393.8176
4/3/2012,662,0,1,20624.3424
4/3/2012,669,0,1,73620.4608
4/3/2012,670,0,1,55177.416
4/3/2012,671,0,0,118221.0768
4/3/2012,673,0,0,32661.936
4/3/2012,675,0,1,59990.04
4/3/2012,676,0,0,44775.0864
4/3/2012,678,0,0,102264.6528
4/3/2012,679,0,0,95462.8344
4/3/2012,682,0,1,68194.7136
4/3/2012,686,0,0,111581.2944
4/3/2012,687,0,0,50882.9328
4/3/2012,691,0,0,90869.868
4/3/2012,692,0,0,34948.5192
4/3/2012,693,0,0,120449.1096
4/3/2012,698,0,1,41420.4696
4/3/2012,702,0,1,51410.9736
4/3/2012,705,0,0,37116.54
4/3/2012,709,0,1,49401.18
4/3/2012,710,0,0,20040.6816
4/3/2012,711,0,0,10634.2488
4/3/2012,716,0,1,68251.32
4/3/2012,717,0,1,23361.3
4/3/2012,718,0,1,65027.7504
4/3/2012,722,0,1,56428.416
4/3/2012,724,0,1,61620.7104
4/3/2012,725,0,1,61692.1488
4/3/2012,734,0,0,17373.7944
4/3/2012,736,0,1,16808.2848
4/3/2012,737,0,0,12223.7784
4/3/2012,740,0,1,4000.1256
4/3/2012,743,0,0,40194.54
4/3/2012,744,0,0,134462.4264
4/3/2012,745,0,0,10020.5424
4/3/2012,746,0,1,24113.0664
4/3/2012,747,0,0,6382.0008
4/3/2012,749,0,0,46667.1744
4/3/2012,751,0,0,361962.7128
4/3/2012,752,0,1,85932.9648
4/3/2012,753,0,1,373397.9472
4/3/2012,754,0,1,17567.6832
4/3/2012,755,0,0,14585.5656
4/3/2012,756,0,1,32823.6696
4/3/2012,757,0,0,49210.1784
4/3/2012,758,0,0,32634.108
4/3/2012,759,0,0,14531.076
4/3/2012,760,0,1,13611.9456
4/3/2012,762,0,1,24593.5224
4/3/2012,764,0,1,28508.8752
4/3/2012,765,0,1,92739.96
4/3/2012,766,0,1,4534.92
4/3/2012,767,0,1,14894.1288
4/3/2012,770,0,1,215218.0656
4/3/2012,771,0,1,49203.8424
4/3/2012,773,0,1,12342.4488
4/3/2012,789,0,1,103547.9232
4/3/2012,790,0,1,138783.1248
4/3/2012,798,0,1,1128.8088
4/3/2012,800,0,1,50843.3112
4/3/2012,801,0,0,52226.1
4/3/2012,802,0,0,19389.4272
4/3/2012,803,0,1,1939303.152
4/3/2012,804,0,1,28296.3744
4/3/2012,807,0,1,862327.08
4/3/2012,810,0,1,54685.2744
4/3/2012,811,0,0,64337.616
4/3/2012,813,0,0,44983.764
4/3/2012,819,0,1,480142.44
4/3/2012,820,0,1,303955.3368
4/3/2012,821,0,1,16397.4888
4/3/2012,825,0,1,352035.0936
4/3/2012,828,0,1,75573.0432
4/3/2012,839,0,1,164524.1472
4/3/2012,855,0,1,69821.6256
4/3/2012,862,0,1,357705.5256
4/3/2012,866,0,0,128213.3376
4/3/2012,868,0,1,44761.6008
4/3/2012,881,0,1,101082.6504
4/4/2012,500,0,0,84934.872
4/4/2012,501,0,1,2162390.112
4/4/2012,502,0,1,29903.328
4/4/2012,503,0,1,33762.2904
4/4/2012,504,0,1,667434.8232
4/4/2012,505,0,0,381526.0992
4/4/2012,506,0,1,589604.0256
4/4/2012,507,0,1,58102.704
4/4/2012,508,0,1,219107.3328
4/4/2012,509,0,1,60082.4592
4/4/2012,510,0,1,301024.1664
4/4/2012,511,0,0,604614.456
4/4/2012,512,0,1,254685.492
4/4/2012,513,0,0,84261.7728
4/4/2012,514,0,1,142495.7256
4/4/2012,515,0,1,166722.2424
4/4/2012,516,0,1,33018.3936
4/4/2012,517,0,0,217590.5592
4/4/2012,518,0,1,113622.6168
4/4/2012,519,0,1,58823.0064
4/4/2012,520,0,1,37927.44
4/4/2012,521,0,0,136658.3544
4/4/2012,522,0,1,40262.8752
4/4/2012,523,0,1,74784.204
4/4/2012,524,0,1,514852.2936
4/4/2012,525,0,0,17658.036
4/4/2012,526,0,1,20852.9856
4/4/2012,527,0,1,209168.1936
4/4/2012,528,0,0,816289.56
4/4/2012,529,0,1,137205.4176
4/4/2012,530,0,1,37399.5648
4/4/2012,531,0,1,51054.7464
4/4/2012,532,0,1,116728.992
4/4/2012,533,0,1,250836.552
4/4/2012,534,0,0,339821.0136
4/4/2012,535,0,1,163848.5424
4/4/2012,536,0,0,52250.292
4/4/2012,537,0,1,23989.1472
4/4/2012,538,0,1,83761.092
4/4/2012,539,0,1,427082.4216
4/4/2012,540,0,1,53778.5424
4/4/2012,541,0,1,88504.4808
4/4/2012,542,0,0,94949.8344
4/4/2012,543,0,1,64863.2952
4/4/2012,544,0,0,140951.4552
4/4/2012,545,0,0,57322.6848
4/4/2012,546,0,0,62500.7448
4/4/2012,547,0,0,94446.3744
4/4/2012,548,0,0,192241.7568
4/4/2012,549,0,1,23615.316
4/4/2012,550,0,0,38030.3136
4/4/2012,551,0,1,52191.6768
4/4/2012,552,0,1,9481.356
4/4/2012,553,0,1,21575.34
4/4/2012,554,0,1,29046.3336
4/4/2012,555,0,1,85604.004
4/4/2012,556,0,0,106682.9832
4/4/2012,557,0,0,97935.7608
4/4/2012,558,0,1,6513.408
4/4/2012,559,0,1,28909.6488
4/4/2012,560,0,1,174186.4968
4/4/2012,561,0,0,114357.9528
4/4/2012,563,0,0,140756.868
4/4/2012,564,0,1,102452.2992
4/4/2012,565,0,0,27181.9296
4/4/2012,566,0,0,138672.3816
4/4/2012,567,0,1,149497.9416
4/4/2012,569,0,1,16161.3792
4/4/2012,570,0,1,48170.6352
4/4/2012,571,0,1,89805.816
4/4/2012,573,0,1,67415.5152
4/4/2012,574,0,1,71963.5968
4/4/2012,575,0,1,73413.936
4/4/2012,576,0,0,37083.888
4/4/2012,577,0,0,138758.7024
4/4/2012,581,0,0,26173.0728
4/4/2012,582,0,1,17355.1464
4/4/2012,583,0,1,2512.3608
4/4/2012,584,0,1,11659.0824
4/4/2012,588,0,1,64882.908
4/4/2012,592,0,1,23091.984
4/4/2012,596,0,0,5074.0128
4/4/2012,597,0,1,13699.692
4/4/2012,598,0,1,21920.904
4/4/2012,600,0,1,40981.5936
4/4/2012,602,0,1,824469.048
4/4/2012,603,0,1,25851.8232
4/4/2012,604,0,1,38794.4496
4/4/2012,605,0,1,32696.2152
4/4/2012,606,0,0,14637.852
4/4/2012,609,0,0,207537.2496
4/4/2012,610,0,1,34863.1128
4/4/2012,611,0,0,31854.7944
4/4/2012,612,0,1,78034.4208
4/4/2012,613,0,0,345720.6504
4/4/2012,616,0,1,192277.6488
4/4/2012,617,0,0,172876.9968
4/4/2012,618,0,1,514365.2712
4/4/2012,619,0,1,87264.252
4/4/2012,622,0,0,130499.9424
4/4/2012,623,0,1,542566.5984
4/4/2012,624,0,0,30361.9392
4/4/2012,625,0,1,60898.4784
4/4/2012,626,0,1,6233.1192
4/4/2012,627,0,0,32699.052
4/4/2012,628,0,1,33540.66
4/4/2012,630,0,1,134381.0232
4/4/2012,631,0,1,12362.9832
4/4/2012,632,0,1,76800.3696
